BSE,BOM533022,20 Microns Ltd
BSE,BOM532628,3i Infotech Ltd
BSE,BOM523395,3m India Ltd
BSE,BOM590116,7seas Technologies Ltd 
BSE,BOM512161,8k Miles Software Services Ltd
BSE,BOM538351,A.f. Enterprises Ltd 
BSE,BOM539300,A.k. Spintex Ltd 
BSE,BOM530499,A.k.capital Services Ltd
BSE,BOM533292,A2z Infra Engineering Limited 
BSE,BOM531611,Aadhaar Ventures India Ltd
BSE,BOM530027,Aadi Industries Ltd
BSE,BOM531866,Aagam Capital Ltd
BSE,BOM539096,Aananda Lakshmi Spinning Mills Ltd 
BSE,BOM538812,Aanchal Ispat Ltd 
BSE,BOM524412,Aarey Drugs & Pharmaceuticals Ltd
BSE,BOM524348,Aarti Drugs Ltd
BSE,BOM524208,Aarti Industries Ltd
BSE,BOM514274,Aarvee Denims & Exports Ltd
BSE,BOM531731,Aarya Global Shares And Securities Ltd
BSE,BOM519319,Aashee Infotech Ltd
BSE,BOM512038,Aaswa Trading & Exports Ltd
BSE,BOM523204,Aban Offshore Ltd
BSE,BOM512165,Abans Enterprises Ltd 
BSE,BOM500002,Abb India Limited 
BSE,BOM500488,Abbott India Ltd
BSE,BOM505665,Abc Bearings Ltd. 
BSE,BOM513119,Abc Gas (international) Ltd
BSE,BOM520123,Abc India Ltd. 
BSE,BOM532682,Abg Shipyard Ltd
BSE,BOM532057,Abhinav Capital Services Ltd
BSE,BOM538952,Abhinav Leasing & Finance Ltd 
BSE,BOM532831,Abhishek Corporation Ltd
BSE,BOM538935,Abhishek Finlease Ltd 
BSE,BOM511756,Abirami Financial Services (india) Ltd
BSE,BOM526955,Abl Biotechnologies Ltd
BSE,BOM531161,Abm Knowledgeware Ltd
BSE,BOM500410,Acc Ltd
BSE,BOM532774,Accel Frontline Ltd
BSE,BOM517494,Accel Transmatic Ltd
BSE,BOM532268,Accelya Kale Solutions Limitd 
BSE,BOM531897,Accentia Technologies Ltd. 
BSE,BOM526347,Acclaim Industries Limited 
BSE,BOM530513,Accurate Transformers Ltd
BSE,BOM530093,Ace Edutrend Ltd 
BSE,BOM531525,Ace Software Exports Ltd. 
BSE,BOM536492,Ace Tours Worldwide Ltd 
BSE,BOM538570,Achal Investments Ltd 
BSE,BOM517356,Aci Infocom Ltd
BSE,BOM530901,Acil Cotton Industries Limited 
BSE,BOM530043,Acknit Industries Ltd
BSE,BOM539391,Acme Resources Ltd 
BSE,BOM533330,Acropetal Technologies Ltd
BSE,BOM513149,Acrow India Ltd
BSE,BOM524091,Acrysil Ltd
BSE,BOM532762,Action Construction Equipment Ltd
BSE,BOM511706,Action Financial Services (india) Ltd
BSE,BOM511359,Ad-manum Finance Ltd
BSE,BOM512599,Adani Enterprises Ltd
BSE,BOM532921,Adani Ports And Special Economic Zone Ltd
BSE,BOM533096,Adani Power Ltd
BSE,BOM539254,Adani Transmission Ltd 
BSE,BOM538563,Adarsh Mercantile Ltd 
BSE,BOM526711,Adarsh Plant Protect Ltd
BSE,BOM523411,Adc India Communications Limited 
BSE,BOM538734,Adcc Infocad Ltd 
BSE,BOM507852,Addi Industries Ltd. 
BSE,BOM519183,Adf Foods Ltd. 
